公司名称,薪资,工作岗位,要求工作经验,要求学历,公司地址,公司人数,标签1,标签2,标签3,招聘链接
北京字节跳动,20-35K,数据分析,3-5年,本科,成都·武侯区·新会展中心,10000人以上,数据分析,SQL,Python,https://www.zhipin.com/job_detail/bdf22ea35fb3c7a00XNy2Nq5FFI~.html?lid=89AapUgEF39.search.1&securityId=hTFZvFwYAfIR1-X1rHrtZMBGh5xInsGYvf1agLjsP6o2bh9SL4IdWLDrMCcd1903zxyz4DxBdRFPCjKpPj1OxiQV-1Dhr6Fkr74iRmqX7E6NwKw~
观想科技,15-25K,数据分析师,5-10年,本科,成都·双流区·华阳,10000人以上,数据分析,数据挖掘,数据仓库,https://www.zhipin.com/job_detail/1ad3f41f675393e50HF73Ni8E1Q~.html?lid=89AapUgEF39.search.2&securityId=mwJnHtulMZ1W0-r1yzp8VMxROq_LBKysPKaw7_tXYKbgYISxl8uS0zsHs93JFt-_QLJwLq-vxDvOBBSgDXaFhaVnF8ybikSDQNFe8uYzkYBh7rNuEg~~
四川好爱家,8-10K,数据分析师,3-5年,本科,成都·武侯区·红牌楼,10000人以上,数据分析,数据处理,,https://www.zhipin.com/job_detail/a340ffe62c41f66103B739q8ElI~.html?lid=89AapUgEF39.search.3&securityId=1pkcbFe5H1Uz8-61Fqpi6ipU2olwkaaaolYmSou8fEpDrNQT3m8P9Hwu0rEkLwQeKlJhIVq_17TrUxa1cKm_aE3NoRRF3nPfMu5EXcDgqhRUJZsg
千百棉,4-6K,数据分析师,经验不限,大专,成都·龙泉驿区·十陵,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/d1be7e91b9dc436a1nR60ty7GFBT.html?lid=89AapUgEF39.search.4&securityId=dHNndJEKwbH9U-n13C6MC9zTAT2JMWBJO399aXI6RIMcpGdHxWojI_BXQDrIq0zOARF3VqDPaii_1pyRm7xAcl77rU6edh19p_ys47_A6BS7Vy6fpMcl
先机战略定位,10-11K,数据分析师,3-5年,本科,成都·锦江区·红星路,10000人以上,数据分析,数据挖掘,商业分析,https://www.zhipin.com/job_detail/d93b85defbef5fd333x82tS8FlU~.html?lid=89AapUgEF39.search.5&securityId=5dPVbgBqWojgE-61xq8Zs4pOo3Sk6dq4qCD-1S2lAPeVMhzjSnGzSxK8cyW-Txj004m-3IVekEHVtVG-Z3GFjOywCY9FNBVFOZhHOtZ_lKmx6uo8
旷惟基金,1-2K,数据分析师,1-3年,硕士,成都·锦江区·沙河,10000人以上,数据分析,Python,R语言,https://www.zhipin.com/job_detail/813aed36158790601XR-3929FVZW.html?lid=89AapUgEF39.search.6&securityId=epOqrXIeZKoka-Q1LkFmrd5BtcI9dMPVpbF-Uj48uxzCOZL3REu_MuHIhCNlp60xI3jRlVCXlqKmtfKv7nN4s18cui_qf2n0ISCUXukMbF0crHneXoI~
蚂蚁金服,20-40K,数据分析师,3-5年,本科,成都·武侯区·新会展中心,10000人以上,数据分析,ETL,商业分析,https://www.zhipin.com/job_detail/b55c94a2b9a776b733x60t-7FFs~.html?lid=89AapUgEF39.search.7&securityId=07VD9ajq8ifEx-a1CSpnwV8VQ7ogy2-WLuSu_5kRGxnhqYJi-UfPSwVlHWxvdB6Hxcq1LnMPOei7msO7NApdddkmoKtJwPmQM1ItMOLiq720
易指生活,6-10K,数据分析师,1-3年,本科,成都·龙泉驿区·大面,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/e8e8db461f172cf31nV62ti6FVVX.html?lid=89AapUgEF39.search.8&securityId=OED2WFxEL0Z83-Q18m_1IViGcStHzezB5N7zJkdiLik1DucjWvAHIcar6Onanu1UDU5pfYRJgFF99M00nsW9kj4ERPoArHPw5470qgDRE0h4OE5d8w~~
瑞倪维,5-8K,数据分析师,1年以内,高中,成都·武侯区·新会展中心,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/25a18812161b828b33x_3921GFQ~.html?lid=89AapUgEF39.search.9&securityId=NqkbvCa7KypJc-j1WjpIeKXcMwGerDCqxARsetF6tHAGDgH36eh1B3YxPwGfNe2sa3Pef5uoV1pcz0xjAGnaaGc4LFsW3RY7pnO38FqmoVgau4w_-w~~
无糖信息(NoSugar),5-8K,数据分析师,1-3年,本科,成都·武侯区·新会展中心,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/eee290beb2f0300133Bz2N60EVA~.html?lid=89AapUgEF39.search.10&securityId=lk_3diN7XMyAm-c1dt3pGartnh1e9TUYG1hEpr2FJD3xtzQY5K3VACArUVHXQg1OyA1OQGIaO0q9Cg-jx6dh6nAmldKpdW4LNjxINtK1fkYKulRQ
嘉谊互娱,7-12K,数据分析师,3-5年,本科,成都·武侯区·新会展中心,10000人以上,SQL,Python,Excel,https://www.zhipin.com/job_detail/f4260e1e62c737551nZ73t25GVBY.html?lid=89AapUgEF39.search.11&securityId=6fiYxdoU1i7h5-x1U9XjRotfSwaHCi-HhdMWVjSc83MbWH3n-i_j2sKA-zAAMt8trI-S2dwI0S_198gPx4nsL-_gaPe6Tw9V08jLhTUXPVHfn1Fm
西瓜创客,12-20K·14薪,数据分析师,3-5年,本科,成都,10000人以上,数据分析,SQL,Excel,https://www.zhipin.com/job_detail/65a1ae46e1e261b91XV52964FVJT.html?lid=89AapUgEF39.search.12&securityId=bspeGre9_svwH-c1CrrUmNiNvbaqN1eXjJVRmpnO2NQewizUVx4K-3qvYca9MhiePfZWVc8NlMLkYtBRjfDLRtQpSga0fbXN0XdGdpmqPpvdL8EQ
四川运泽,10-15K,数据分析师,1-3年,本科,成都·武侯区·环球中心,10000人以上,数据分析,数据挖掘,数据处理,https://www.zhipin.com/job_detail/270df636f5b2cca11nJ52N-9GFs~.html?lid=89AapUgEF39.search.13&securityId=L3bPq3RDuU80r-51ym9iC9DOQVXqI8hHCwyEnSumZX3rcktZ4VRhr0Vcm7U44VIGLdcg-KBteb_d5BeBmz66tUbhu45bzmXntr9thjhqShuT
BBD,9-14K·13薪,数据分析师,1-3年,本科,成都·武侯区·桂溪,10000人以上,数据分析,数据仓库,商业分析,https://www.zhipin.com/job_detail/6e2cba8d2e316c6d3nJ-3N65GVM~.html?lid=89AapUgEF39.search.14&securityId=72hDheSStMQHt-R1tyUmKqvF6drwk5h8LyUNyjo1SofbvuEbQWPNvYL5FKxK3W-FxhRz5mRwAWU7nMRmvD8ADUnbqqxC5laeblCa50265Byotg~~
创力科技,12-18K,数据分析师,3-5年,本科,成都·武侯区·金融城,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/ed489accdc4296d50HV809y7FVU~.html?lid=89AapUgEF39.search.15&securityId=sfDgN8cnWahKs-J1qBnVvD4WlvJOIAlTUGsSDCSF6VK3oBmvvNW5BxsraMSdfhC0AipMGYOUb6iQR8ElUkb3fOlL_qP0Jeo9wfN0fYEMPmf8FKA~
北京景气经济研究院,10-20K,数据分析师,3-5年,本科,成都·武侯区·航空路,10000人以上,数据分析,数据库开发,,https://www.zhipin.com/job_detail/48c89b276177c9851XF-39-0F1M~.html?lid=89AapUgEF39.search.16&securityId=6mLItCRvU7giG--1N59e9N5Y587jlq1DTl0hGp2ufJOhxSWd1GzhDvAfTK1qLvdbqvc5lcvixCjuWgYReR9Qjl84r9lx88Hgza1ZAk-F9G-1
成都智信电子,6-8K,数据分析师,1-3年,本科,成都·成华区·建设路,10000人以上,数据分析,sql,kettle,https://www.zhipin.com/job_detail/d223d6b895a4be5a03R829y_FFI~.html?lid=89AapUgEF39.search.17&securityId=niqVmD4Ay3PcL-R1T6WXLnVw8OuyD8tJw2vg1QtAFMtF-EOpjuq2CRYSNPlNJD0OsQ3L_Yqz0pIeFrljcX7g38XvVEGMi1Eed1G-03vePrnlbeg~
今日头条,12-20K,数据分析师-成都,3-5年,本科,成都·成华区·万年场,10000人以上,Python,SQL,Power BI,https://www.zhipin.com/job_detail/2f8de7bf8f8a8a611XZ_3NS0EVFX.html?lid=89AapUgEF39.search.18&securityId=7Ln69T9DY7XfH-41LgEwIcpMHxG-LUlkiAa9fZFeCZDp-jshSok_RFpXK53OTSRbRYrTRZWgn2u53rwj5ucH8VnWHGKhZQ8EvpEjWmZMf4BE4fYn
往深商务信息咨询,4-8K·13薪,直播数据分析师,1-3年,大专,成都·武侯区·新会展中心,10000人以上,抖音直播电商,数据分析,投放,https://www.zhipin.com/job_detail/02ee28fb47347c1b1nZ409-4FldY.html?lid=89AapUgEF39.search.19&securityId=MTL95PQ7qYoMr-f1P9Kx4E7FOxLk8K2OCAt1gstVPfIWOT_BrGc3yjkT9zE0Su3CZQmjGTgn7Rt8gRz2dWvvrnkJGgREsFTx-1zdhtpq6xdtfAGy
数数科技,16-25K·14薪,高级数据分析师,3-5年,本科,成都·武侯区·新会展中心,10000人以上,SQL,数据分析,To B,https://www.zhipin.com/job_detail/8a6c29706e297b5a1n1829W9FlFY.html?lid=89AapUgEF39.search.20&securityId=wAQui6Hwi7yVX-z1XcCwLwivbwf1eNXyVffOhNfqXA-Fave-WT7HFES3UEDBvIUsluEuCF3rEoacUOakxCXCLXPiIMz3kxVi31eQnImBPkAkLY2Z
书声科技,4-5K,数据分析师（实习生）,在校/应届,学历不限,成都·武侯区·新会展中心,10000人以上,数据分析,数据挖掘,,https://www.zhipin.com/job_detail/966e1475aaa8eb881nRz3d-_F1FV.html?lid=89AapUgEF39.search.21&securityId=NKuD2MZbw7BHM-J12ix4W18inGjsAj3b6aMfbIYw35kfgCWT6dISQMUXONwx1RMM5H6ELvPjgeEvjQa4EVrnpNgOrTCvS3QLB7LcaDNEQajUJzSZ
饿了么,15-20K,资深数据分析师,3-5年,本科,成都·锦江区·天府广场,10000人以上,数据分析,商业分析,SQL,https://www.zhipin.com/job_detail/6d81411353849c861nR_2Nq5ElZX.html?lid=89AapUgEF39.search.22&securityId=DR1ZqM-ONM5rW-P13Skdw49BRine8ZqI0Kr6lDguGn9-BtNDJ4VnBoonsUls06sSL224UJnGL_tDvofmDic_BgzmE8TwpDf7JKtmUF7qdvCf
廊坊智慧环境,4-6K,数据分析师---成都,1-3年,大专,成都·锦江区·四川师大,10000人以上,数据分析,,,https://www.zhipin.com/job_detail/13d03e9735f6d2481nRy2du-EVZV.html?lid=89AapUgEF39.search.23&securityId=hge9VMxNZHbvH-K1Ewlf6v4lSRK76AncjhLEdDfiXoSUp5OOAqrlk1ZWPt2rKoPSizFNwvCEO5YxuOv5G-sDUeVFXjUlH82RwNPABymmrXMf9K9rtA~~
星合互娱,7-12K,游戏数据运营（游戏数据分析师）,1-3年,本科,成都·武侯区·银泰城,10000人以上,游戏,数据分析,SLG游戏,https://www.zhipin.com/job_detail/3e3a1c8c22ff108c1nR82Nu4EFVQ.html?lid=89AapUgEF39.search.24&securityId=YphRi54WBy6mK-U1lWSYFDRsuoasaOnTrKKV9dBVZ2JnjmGzBE0Iq3q2Z-_jawx04hmRJk2FfRewPxRzyeCHmNA4CgMEqEWmP7d4Iydg8kcL8M2BKQ~~
Nexa,9-14K,数据分析师（双休 五险一金）,3-5年,本科,成都·锦江区·合江亭,10000人以上,Python,Excel,SQL,https://www.zhipin.com/job_detail/e1b406bef01f1a0a1XZ539W9E1ZQ.html?lid=89AapUgEF39.search.25&securityId=bbi6aQ6nKFFJP-B1i7dA-botBsaDy2pKnaduXUx1P26uwJywnunXOSVCrQfsyR4sMqt0MpRaXLg-qC_MnWz0O1oEixl0HSr2bs93qwks2MQ1veVL
清环智源,5-10K,综合数据分析师（成都）,经验不限,硕士,成都·金牛区·营门口,10000人以上,大气物理,大气监测,成因分析,https://www.zhipin.com/job_detail/d4c18746009409f91nB83ty9F1JW.html?lid=89AapUgEF39.search.26&securityId=NMWXyZ7uwC9Zq-M16yKUJC2wh1bMsCZ-bf98yKZwWU0TIDfD4afIy6ZLKCEx0EoFwHG7acofAwNjpXM2WzgCf6vzlLmktDPPqrFwExkxd6-hfMiHtas~
斑马网络,20-40K·15薪,数据分析师,经验不限,本科,成都·武侯区·大源,10000人以上,C++,,,https://www.zhipin.com/job_detail/8a19926b113c75d81Xd70tq7ElNS.html?lid=89AapUgEF39.search.27&securityId=tBIUlXS6D99id-q1QtSBPC8mmOnz_GFUE-1S4wJOd5kF6nM5qqT2_Qm5m4sBSUgG1iCrU9-UYiOkeEW7J7aZux1qiHXoP0urkTV2Yl_g41RHEfgt
衫数科技,15-25K,数据分析师,3-5年,硕士,成都·双流区·华阳,10000人以上,Python,SQL,,https://www.zhipin.com/job_detail/d98dc862de2fed4a1XV42Ni4GFZQ.html?lid=89AapUgEF39.search.28&securityId=bAFiH51C8RxNJ-11eHlchd6zaiW95RmCP08xT4QADwcyK4S1oMD10RRSzVLeJkxY6DWvBFmGYgb3PZOPAUQo_1fdU_T9BFRDHYJumm90Z93j1OmVsA~~
云鉴未来,12-20K·15薪,数据分析师,1-3年,本科,成都·武侯区·石羊场,10000人以上,Python,SQL,决策树,https://www.zhipin.com/job_detail/3a4feb24edf8408d1XR52Nu8F1FS.html?lid=89AapUgEF39.search.29&securityId=bvES431NYW7G2-I1dcQWJme4psQvs2HNZGDcqJijEZuYQOE0DXgSKZBTSuFtzb0ShjoAeCgaHFEvYj1vqvIvx6doGN2GnZsmmFiT95Snt8FY8jCG4EY~
华为,14-28K·14薪,数据分析师,1-3年,本科,成都·郫都区·高新西,10000人以上,Python,Scala,Spark,https://www.zhipin.com/job_detail/2e1ded2e4b0720ac1XZ72tm1FlRQ.html?lid=89AapUgEF39.search.30&securityId=QRHt1fXOyFpUM-L1UEANN869o6Dp95Cm0ETv641Lhha7Jhq6xzChwdIktoEdOAW8naTDHVOXIfcXfxhstFEf36Z_WTXQkpHpfoANU-Kz1LIGxr0~
快手,8-13K·13薪,数据分析师,1-3年,本科,成都·双流区·华阳,10000人以上,Excel,SQL,Python,https://www.zhipin.com/job_detail/3515a472c6cb76af1XR-3ty8EldQ.html?lid=89AapUgEF39.search.31&securityId=m6sSTS7usH-dM-n1fh0FDLam1kw-bTMrI2NpmfTJmyfrd08T2jorGLvG_2P6G7ZOgIJ4-WB6oj4_2Vb0mQxaxXYjXbruagjfG6Cs24yu-GgqVaw~
云达智业,7-12K,数据分析师,1-3年,本科,成都·武侯区·新会展中心,10000人以上,Python,SPSS,SAS,https://www.zhipin.com/job_detail/504b4b5181e461251nFy2965E1NT.html?lid=89AapUgEF39.search.32&securityId=yaKyG72D2tbiv-P1KpoypjlnRQrV6xeMQNUxaVm0MPHwlsNN9Hz22S0GTuDlYhj8X2NpRTJjFT_2XDcVqXg7HkpUxKGVNH93FeAMR1jlhLVY9GhXHQ~~
成都数联产服,8-12K,数据分析师,1-3年,本科,成都·武侯区·桂溪,10000人以上,Python,SQL,Spark,https://www.zhipin.com/job_detail/b1d8f738b2a78fd61XR83961GFdS.html?lid=89AapUgEF39.search.33&securityId=d8rSuQun1JsBz-V1miw95Ycxn2e9ndBnUondSKdtoXWZ5gkExDHXpauZ-EKB5u7VsY3fAZ0Xx6FZP50fnEGT_uP9XD0JDS3239qr53-qhtHNXwnRpvSO
浩瀚深度,12-24K,数据分析师,1-3年,本科,成都·武侯区·高升桥,10000人以上,Spark,Kafka,Hadoop,https://www.zhipin.com/job_detail/94875ae5fb5ad6b91XR83dy9FFRX.html?lid=89AapUgEF39.search.34&securityId=77SMTVYZyYiRz-61wlRIKUCa5vQRgFcARXybPfz9McNLnxoSAjsYzHfM49ryaBj_vkpDcTLDWo08dPSvxqFlb2CD7FPWcizq0XywyUbQFo3ob877
达实旗云,9-14K,数据分析师,3-5年,本科,成都·武侯区·新会展中心,10000人以上,Python,SQL,Spark,https://www.zhipin.com/job_detail/d79eab3e3ea5275b1XV62dm6GFBY.html?lid=89AapUgEF39.search.35&securityId=VLaTdfsaFUSZR-Y19QScTI5SEw6Sa_8hqTgi84wQY73gKbJusqKtL9FyxG-0eTvQN_gP4lHA6nIARgiqW3gfLr3dnBPmM-RtwbfY3BSf48zeKQ5gpMNn
瑞健恒业,5-6K·13薪,数据分析师,1-3年,大专,成都·武侯区·机投,10000人以上,Excel,,,https://www.zhipin.com/job_detail/bae34da4e6ecc0301nVy3tS0E1RR.html?lid=89AapUgEF39.search.36&securityId=7i8D61YZk03Nu-I1vwBtTniycjQRBl7vO1i_hVVDlkRQYjel0Xse8AbSSyG0-DuOje4hPSq7sU9jLtEhg5ZY1vEj8i8cJf4gw8S_4B3RO3UaoCFKtg~~
特驱教育,10-13K,数据分析师,3-5年,本科,成都·郫都区·高新西,10000人以上,数据仓库,MySQL,Python,https://www.zhipin.com/job_detail/898b7256799a20670Xx90t-5FFU~.html?lid=89AapUgEF39.search.37&securityId=MhZHP020_EFgH-91KrfkNtKdvSYE9fpox2j8Y1Wi7SZ04nRiipers3Wr-1uLQj8Eh2pKUYPKNXR-TMJuicGclo1tc2LXZdQPgxOpKRdH2nB8sRl5
顶视科技,6-9K·13薪,数据分析师,1-3年,大专,成都·武侯区·新会展中心,10000人以上,Excel,,,https://www.zhipin.com/job_detail/3ebb6e364db1bcb51nxy3N67FlVZ.html?lid=89AapUgEF39.search.38&securityId=oiX3I4alYyTvt-o1EQJD6LhsVRfSANckxNWwZs9Uo0e3avpQBiHfJ9FXB_37a_l6AVKtFWHsiiNGkJ8t8-E65ZoauBadAEEtXm41EVMLBH1n-bTgPN9Z
云上微游,7-12K,数据分析师,1-3年,大专,成都·双流区·华阳,10000人以上,Excel,Python,,https://www.zhipin.com/job_detail/c34b1a7bb0aaca361n1829q7FVVZ.html?lid=89AapUgEF39.search.39&securityId=qdcEojUW2b4UP-C1pb2n1SYtYi3o2--Rbpu20SOXIkoUxAj1wVw1rfPf-4QYpliNiHegjnS9jOY8vWhKjzkpvKxLfjxeSCdqg4-MeIb3jwQAFhyEWGU~
望瑞柳,8-13K,数据分析师,经验不限,硕士,成都·双流区·文星,10000人以上,Stata,eviews,经济学,https://www.zhipin.com/job_detail/c15fd97c926f55b71nJ_2Nu1FFVS.html?lid=89AapUgEF39.search.40&securityId=vF3o319UzApwJ-o1JmbHWbEEBmV1Q3easaNX8oIddLFZU8aprJCCsZEFkvnIuKSuX1h_iST9a_K-frK9igGkOxRP9fRU858WRsa3vVnvYSrWFDgJEnaJ
兴洪嘉,3-5K,数据分析师,经验不限,大专,成都·金牛区·蜀汉路,10000人以上,Python,,,https://www.zhipin.com/job_detail/dad9c7b8027eeb7e1XR43du4E1ZW.html?lid=89AapUgEF39.search.41&securityId=wzBkWRu3wapUe-v1jlp7eP1Sfg1xBwuDaaE5-5KFRwUxDZxfvc1idmoU7xKJbNPz4KjBxkK7KjjhGu7fwlHvc01K77mZhrUpilWFyIjTxe59oc5kBg~~
联通高新,10-15K·14薪,数据分析师,1年以内,本科,成都·武侯区·新会展中心,10000人以上,Python,Excel,SQL,https://www.zhipin.com/job_detail/188d307c42e1b9651XR40tq_GVJW.html?lid=89AapUgEF39.search.42&securityId=8dSzNaoCtA47T-P1yHM8OJOy-2XZXYE1ugP0B-wjXxkSZsJsufxQQ4ptt5efOMwZe3uo60rEIHinpFF7H0kwcVaKPkqS8TGgrDVNt63HbSVRwiofD4wH
之了,10-14K·13薪,数据分析师,1-3年,本科,成都·郫都区·中海国际,10000人以上,Python,,,https://www.zhipin.com/job_detail/2b7ae94c0894171f1XVy39u-FVBT.html?lid=89AapUgEF39.search.43&securityId=Qn2bEZF6wzPtR-M1waWhpmFOmVBbl-5yb1RU6zO4t2p_0kkYVsXCqAKXIo1r_PxOYj65jU554fCutO5ZhtSSlr8VKrw4Ply2RRQKzwfsk-zG3e8j9qs~
麦可思数据科技,7-12K·13薪,数据分析师,经验不限,本科,成都·双流区·华阳,10000人以上,SPSS,SAS,Excel,https://www.zhipin.com/job_detail/ec8704f20db82c7b1XZ52ti_EltW.html?lid=89AapUgEF39.search.44&securityId=McSUq3m6OaupB-u1yCSkl7SGARzt3FSEK6IB1k6SZn0l346606TBui7-a43o68UsypM6E1XxxuEVQ40h3Zv5MqfE67cs1Sdtintp1Ae-DVtCH8hIstEN
四川书亦,7-12K·13薪,数据分析师,1-3年,本科,成都·武侯区·火车南站,10000人以上,Excel,Tableau,SQL,https://www.zhipin.com/job_detail/948bb17e0e68861a1XZ83du_ElVQ.html?lid=89AapUgEF39.search.45&securityId=YqW4THBCwLW7_-V18sg9gR5E6UepkvhzpKd_NbvbUUGXyDXT25v38dhujiO4SJhRD1zu3uRfFzafaYqUEsqd-tCOxpIubfPAZ0sqWpPznZFdN7nt
四川新绿色药业,8-12K,数据分析师,1-3年,硕士,成都·金牛区·沙河源,10000人以上,Excel,SPSS,,https://www.zhipin.com/job_detail/546e0536bf55319d1nZ709q-GVFW.html?lid=89AapUgEF39.search.46&securityId=1U6z4jKeZRkMh-H1W4ZhiHp6dWAkrFj1qnvV4Viqu2XAqaAUNRwEUFCyffxoe-Efe_X9HdMwwzbEosaeMhhObvZQZh-9KdYtDyHijjLpxRQZVEZJ
货拉拉科技,9-14K,数据分析师,1-3年,本科,成都·青羊区·金沙,10000人以上,SQL,Excel,,https://www.zhipin.com/job_detail/bb7e8160e15654a31nN60ti8FldQ.html?lid=89AapUgEF39.search.47&securityId=mvXGpZn8xOkkY-N1fseHuoqqCYsFFbyutMNsypp4oYTxdNkI030_ySf3tCjJERh1RZ-9fzAK8Y6PUBovfXBvgTguu75-k1HznZtewmVP9ARA3Q~~
大道同行机器人,15-30K,数据分析师,3-5年,硕士,成都·武侯区·石羊场,10000人以上,SPSS,回归分析,多元统计分析,https://www.zhipin.com/job_detail/4b4dd6966940a4f41XV429m7FVdW.html?lid=89AapUgEF39.search.48&securityId=Jv-8L4_xwd8ev-l1JsGgCYVkW4uBb2yQ3h5DjzalDiEnsumz4nLuMAJCspI62eYDCDg1cX9z7760A1d5T07-hc6EffeO46nX9C7az6ErCgbG5IiCeA~~
成都多科星,5-8K,数据分析师,1-3年,本科,成都·武侯区·桂溪,10000人以上,Excel,,,https://www.zhipin.com/job_detail/3bdbf4ad8bf841081XVy39y4EFRX.html?lid=89AapUgEF39.search.49&securityId=qW49PCm8Fy1NJ-d1fzEecjkaViTmo_LVQ0TIWfG96utZM2TIk535JYRdpCfY7Tejl3ydv8RyOfAWkob8YBLCGh3xlw1XJzG7IbP55qG1mmbVq_Vn16g~
极略,10-15K·13薪,数据分析师,经验不限,学历不限,成都·武侯区·新会展中心,10000人以上,SQL,,,https://www.zhipin.com/job_detail/fbacfe1e1754b81b1XZ72t26FVdV.html?lid=89AapUgEF39.search.50&securityId=TuIOOFwZuDc4K-c1gKMRwqOjfEA82-cpDVT7hRuxZwqdPIbB11HSn7ZemW-xqJczx_WvKKOw7wPFWcl9c_218keARLRhoTGWxQ4QLlz9bI4Tc61_W_w~
新航路教育,10-15K,数据分析师,3-5年,本科,成都·武侯区·新会展中心,10000人以上,Python,Presto,SQL,https://www.zhipin.com/job_detail/5f61d8befa010e6e1nJy3Nm6E1FV.html?lid=89AapUgEF39.search.51&securityId=BGPG8CaJO3JRO-L1-rI_Ragy1P0LpbZy3wm7i5L8BmAFe4OE6KYY4QgsUEIOmRLxnw1XS-0Tvh64_dNdqluG39maiQ0NAqi-f3EJaW2SwV_wicuKUFg~
派可数据,10-15K,数据分析师,经验不限,本科,成都,10000人以上,SQL,Hadoop,,https://www.zhipin.com/job_detail/a5b9b7eca423fed81nB93tm9EFRQ.html?lid=89AapUgEF39.search.52&securityId=0WFLtRMQ2MRjo-f142BENOFfSuU1aGGdB8mXCYK7TK6hlZDihauqc9n2An1HzbWXVvHkRFmUtplSDRtmKgDNHC7eJK8eGccrDFKdOGtvQvTCOAS-zg~~
极略科技,7-10K,数据分析师,1-3年,大专,成都·武侯区·新会展中心,10000人以上,Python,mysql,,https://www.zhipin.com/job_detail/5f4aa6f487efe4f41XVz29i6E1VV.html?lid=89AapUgEF39.search.53&securityId=6zUxByVYDXKEM-L1oXmrTCKWVAy_oqwhurktGB7cfYEK-ZdVAO5pi0FzuoimLsMxYUZ-_2a4KulcP2nfL6nmcXeTkGcxiX-JlfNDQ7VHoXkCzTUvbrw~
绎达股份,4-6K,数据分析师,1-3年,硕士,成都,10000人以上,SPSS,Excel,,https://www.zhipin.com/job_detail/3ace51a9b69a5d1f0XZ-2tm8E1c~.html?lid=89AapUgEF39.search.54&securityId=2uuAYnZjLE5vl-W1W9jwXVQcUCMETzXBw2nNzPhXnsrPM1BEY99sFt40obO0jHalUpKPqcym7lBTMLAFxtCc2RYX_fLvPTP_mF6hpWVxKdSeOnUP
享宇科技,7-11K,数据分析师,3-5年,大专,成都·成华区·红星路,10000人以上,Python,BI大屏,Power BI,https://www.zhipin.com/job_detail/7d62b426f68e60931XZ40ty9EltQ.html?lid=89AapUgEF39.search.55&securityId=EoP1uhg36aslQ-h1VrawvFv093_R3f7-xYq2Id7xwPd4glybAs7rR_gN7DCllEEsEKu25voZQfZpy-bu3ECIGuvknIpov8DCCEWwMRYUsDjqvigYDr8~
六点水,11-12K,数据分析师,经验不限,本科,成都·双流区·中和,10000人以上,SPSS,,,https://www.zhipin.com/job_detail/92f2d57f5ad30c711XV_29y8FFZQ.html?lid=89AapUgEF39.search.56&securityId=2eslEwZQkvLXo-G1ROIJrH8fhVKupPV-j-MweoXxmn3wQR288W0I6OtnzOQZlAZwrFbUGgddmaxNePdW6L3LK6RlfWtovj3QSWS1LqOvVHBUtjgERNg~
融晟科技公司,11-20K,数据分析师,1-3年,本科,成都·武侯区·新会展中心,10000人以上,SQL,Spark,Hive,https://www.zhipin.com/job_detail/30d06676c60ef32a1XRz2dy8FFZW.html?lid=89AapUgEF39.search.57&securityId=zuVXWZSZggPo_-i116Pk1DLqDVhlbRvqr4pyEyuB5ov4_0Z4JO_lCQdi77ltzVmPBCFfgfLQW36HiZUyv3vkWtAMfTTP_Fnv4E0qHQYE7wsXrZngiw~~
京东集团,20-40K·14薪,数据分析师,1-3年,硕士,成都·武侯区·机投,10000人以上,SQL,多元统计分析,决策树,https://www.zhipin.com/job_detail/4daeda685eda43ea1XR52ti4FlBQ.html?lid=89AapUgEF39.search.58&securityId=p6U1zpKgsyo49-t1HS1n-h5npXa0pJyn7FoRF8Cw-LVlHC1hedfYTB2XH8SkVNuOgID2JTmQmsw_OZV218VyvueO-Z1jaq6MBWnPz6nrsbKU2w2q
佳发教育,7-12K·13薪,数据分析师,1-3年,本科,成都·武侯区·金花,10000人以上,Python,SPSS,SAS,https://www.zhipin.com/job_detail/8814cd1881be1f621XR53965EFBW.html?lid=89AapUgEF39.search.59&securityId=7J52vW5bsw8EC-s15lCMwC-IB9W8YbfgTZkTjKDFO-jX_9UPhVEKa8StG8JBY18Nj-mnaIubP4MBu5o58UX4wLQuYRUBUAwfP0ZcHuMss-S2IPykODzF7CDO9njdLWkNJo4yjFPfeR-n5a8x6UMCzWcs
乐超人,7-10K·13薪,数据分析师,1-3年,本科,成都·双流区·华阳,10000人以上,SQL,Excel,Python,https://www.zhipin.com/job_detail/4188e6131657fbaa1XZ53tm5FFBQ.html?lid=89AapUgEF39.search.60&securityId=8hlKGKrJ_x0hx-114_rh10ZW9Rgd9MxDFGoNBdwhXJsbVouiAbn7Mwm1XfTDnPY8wOL1aG3AMLyUUXlrGjudPfNcpJhrCNPNpPIzi3SAzf43p5f3ayPYsmIBHVJ6PfDmt6vDlpyKbH7vbrT3NSw-
我行我数,11-20K,数据分析师,3-5年,本科,成都·武侯区·桂溪,100-499人,Python,,,https://www.zhipin.com/job_detail/b131e54399c562731XV90tS1GFNW.html?lid=89AapUgEF39.search.61&securityId=wI3hrBjfs2a5r-C1ZdcfuZidGWHG2EpsV8v7rC0-MLG8W6MR8UTAhsOD4aNP7Uyvrb_J7KE9BHMLS0QvrDmjYo1VR9RopRPMoZT_Bi4XqYs037RVtSY~
