公司名称,薪资,工作岗位,要求工作经验,要求学历,公司地址,公司人数,标签1,标签2,标签3,招聘链接
蚂蚁金服,20-40K,大数据开发工程师,5-10年,本科,成都·武侯区·银泰城,20-99人,数据分析,Java,Python,https://www.zhipin.com/job_detail/be5fa410220f39820X1-2929FVc~.html?lid=89AapUgEF39.search.246&securityId=NbxocK7Bf7QmQ-W1Ll2UTCuKHor6z00fkt9i7al5fNraP_W262XLeZq4T6qpG7ts099jvQDKWrne5QODnv6cd85otb44_xyXDK2xOcHCVIW8Vmc~
成都元音,200-400元/天,产品经理（大数据AI）,4天/周,3个月,成都·武侯区·中和,20-99人,策略产品,英语,SQL,https://www.zhipin.com/job_detail/e86dc4112bc04b501XZ-3Nm8EFFR.html?lid=89AapUgEF39.search.247&securityId=e0KTgPjHxsKdj-_1PfuO-rHryp4ndgPkzHHvybKZC2u02n4mEV3SBmcbKqpLLOmhu2ywcfuZP5uUs8uTGNe0FQXwxknzgP1yltEGp3taP5Li2OEYg2w~
邦富软件,10-15K·13薪,中高级大数据开发工程师,1-3年,本科,成都·武侯区·桂溪,20-99人,数据仓库,ETL,数据库开发,https://www.zhipin.com/job_detail/2ddd31df061ea20b3n1_396-EVU~.html?lid=89AapUgEF39.search.248&securityId=aJOHVvs8OHyYm-O1QEX8UTzF47wlhp9nmGnY4R4ELQ4veya9hlb3F96lfv-89C0vRLDBxLN-6s4jelxmRhX4qAkcfSh1PZ8uD6LgtZX0Lk-LYSAg-A~~
成都智极,9-14K,数据挖掘爬虫深度学习图像识别算法工程师,经验不限,本科,成都·成华区·驷马桥,20-99人,深度学习算法,自然语言处理,机器学习算法,https://www.zhipin.com/job_detail/50dbccdd5b7871e11nNz2t-1FFdX.html?lid=89AapUgEF39.search.249&securityId=7weZhMpFQbzJm-116e1MCID0wXJ0B3nld2kcwEUahpdsaZr2uv_QcPWmj6JkAaZCrL_6WXZKxNtpxhmdD8nyFAik19E5K6LdAdH8CZJf13DlpktCboM~
映潮科技,5-8K·13薪,初级数据分析,经验不限,本科,成都·武侯区·新会展中心,20-99人,Excel,SQL,数据分析,https://www.zhipin.com/job_detail/4a0e8cf945c0ca971XV42ty7E1pW.html?lid=89AapUgEF39.search.250&securityId=gAEoK1MWBF3IH-x1hKdnKrCKZ5EM_OxUZN5iGhAisgCWvjQP-QwBf5k7ZbCofpNf3qC-9rlIP5RIdADSkXAn6RFoWCHO7WHsb9oqoEPsUlbe0qGjXlM~
成都蚂蚁集团,5-7K,数据分析员,1-3年,大专,成都·武侯区·高朋大道,20-99人,Python,SQL,Java,https://www.zhipin.com/job_detail/9c5dbc2bb0d7f9431XV839i9FlZZ.html?lid=89AapUgEF39.search.251&securityId=7iIdrwfb6f3h6-U16N4kdUhNTEQYhk7CaiSZ5uvKuF-7S2bjO_NHPcS4i0HzRbSsOBCJONYCTYIea6d4-yYqI3dDQBuolG_AujM2dOJcY7SYxHU~
阿布空间,3-6K,助理数据分析员,经验不限,大专,成都·金牛区·一品天下,20-99人,SQL,Python,Power BI,https://www.zhipin.com/job_detail/35714a4acb70ef241nJ90tW8ElpV.html?lid=89AapUgEF39.search.252&securityId=eTcPCZh8UZ4xJ-b12M6st18ocngd61A124ZbFZ3jWLeiS1WJM9b9Rrs_UdX8uQ5k_RGq6KOH9KWtUjpJMZr1Pdj_UUy7M_2yR66HQFHBgRLsrhYmFQ~~
新希望金科,15-25K·14薪,大数据分析岗,3-5年,本科,成都·武侯区·石羊场,20-99人,SQL,Tableau,Python,https://www.zhipin.com/job_detail/821a45b4ff22678f1XZ429S_FFpQ.html?lid=89AapUgEF39.search.253&securityId=0HLRKNZ0et8GM-i1PSoJnUAzeTTu6J2MXzbhILjvh7Y7A9ckZ5YUYHpCYJHbC0fJIV8GvEUp9f_aVGXmD9srv2iYvj6vcDSwuzSdwCa9X9gLPf380S0~
六点水,10-11K,spss分析师,经验不限,本科,成都·简阳市·北门,20-99人,SPSS,数据分析,SAS,https://www.zhipin.com/job_detail/efcc81890b78dcfe1nRy39u8FVpR.html?lid=89AapUgEF39.search.254&securityId=R2G1ytwo3ho9p-v1wCEscgvEb7EgdgE691Q2PAJ-F-PWNKmm9gDRGpmrABVqAAZAxucJWSbErqxwzTPlCgblCSZN0qcoul6xjk9Hwd6gjIGUopn-OHY~
麦可思数据科技,6-10K·13薪,数据分析师（成都）,经验不限,本科,成都·双流区·华阳,20-99人,SPSS,SAS,Excel,https://www.zhipin.com/job_detail/babfe29d1a3fd0c51XZ43dq9ElZR.html?lid=89AapUgEF39.search.255&securityId=RhrJAmJfnr6NG-911foe9h4Wjc8umKIbcgDyNrU9jzmblNPhD6NdZkYfkBfnl7H8g1a9VrVkYet811ho9vnrcaYZCYAqEq81A16JaoMp4ep0gRPQkK2cYNEufQRprIj7iC51G_EvIHCmWfEvaoGwlZA~
